Unique ID;Name;Division;UF
2.000.118.713;Colorado Caieiras;Sem divisão nacional;SP
309.777;Colorado EC (PR);Sem divisão nacional;PR
314.688;Comercial (ES);Sem divisão nacional;ES
301.181;Comercial (MS);Sem divisão nacional;MS
313.366;Comercial (PI);Sem divisão nacional;PI
309.786;Comercial (PR);Sem divisão nacional;PR
301.336;Comercial (SP);Sem divisão nacional;SP
312.327;Comercial de Joaçaba;Sem divisão nacional;SC
2.000.214.116;Comercial Tietê;Sem divisão nacional;SP
2.000.240.525;Comercial TL;Sem divisão nacional;MS
19.281.310;Conceição (PE);Sem divisão nacional;PE
8.832.365;Concórdia;Brasileirão Série D;SC
19.044.044;Confiança (RJ);Sem divisão nacional;RJ
301.323;Confiança (SE);Brasileirão Série C;SE
314.291;Confiança de Sapé;Sem divisão nacional;PB
19.164.274;Conilon;Sem divisão nacional;ES
19.107.394;Contagem;Sem divisão nacional;MG
19.138.845;Cordino;Brasileirão Série D;MA
319;Corinthians;Brasileirão Assaí;SP
2.000.003.894;Corinthians de São Bernardo do Campo;Sem divisão nacional;SP
314.773;Corinthians PP;Sem divisão nacional;SP
309.629;Corintians de Caicó;Sem divisão nacional;RN
313.301;Corisabbá;Sem divisão nacional;PI
104.776;Coritiba;Brasileirão Assaí;PR
309.621;Coritiba (SE);Sem divisão nacional;SE
313.787;Coroatá;Sem divisão nacional;MA
313.901;Corumbaense;Sem divisão nacional;MS
8.832.327;Coruripe;Sem divisão nacional;AL
19.036.102;Costa Rica (MS);Sem divisão nacional;MS
314.767;Costeira;Sem divisão nacional;PR
313.325;Cotingüiba;Sem divisão nacional;SE
314.973;Coxim;Sem divisão nacional;MS
311.002;CR Guará;Sem divisão nacional;DF
303.018;CRAC;Brasileirão Série D;GO
2.108.162;Crateús;Sem divisão nacional;CE
318.864;Crato (CE);Sem divisão nacional;CE
301.102;CRB;Brasileirão Série B Betano;AL
320;Criciúma;Brasileirão Série B Betano;SC
313.254;Cristal (AP);Sem divisão nacional;AP
19.354.772;Cruz Alta;Sem divisão nacional;RS
321;Cruzeiro;Brasileirão Assaí;MG
301.121;Cruzeiro (BA);Sem divisão nacional;BA
19.023.490;Cruzeiro (DF);Sem divisão nacional;DF
