1937;;1959;;1960;;1961;;1962;;1963;;1964;;1965;;1966;;1967;
Campeão;Corinthians (6º título);Estatísticas;;Campeão;Corinthians (7º título);4.º colocado;Grêmio;Premiações;;;Luciano (São Paulo);3.º colocado;Palmeiras;Colocações finais;;Melhor defesa;Corinthians – 22 gols;(CBF);
Vice-campeão;Atlético Mineiro;Melhor marcador;14 gols:;Vice-campeão;Palmeiras;Rebaixado(s);Sport;Melhor jogador;Bruno Henrique (Flamengo);Melhor ataque;Flamengo – 68 gols;4.º colocado;Fortaleza;Campeão;Palmeiras (11.º título);Premiações;;Melhor treinador;Marcelo Oliveira (Cruzeiro)[1]
3.º colocado;Grêmio;;Diego Souza (Sport);3.º colocado;Santos;;América Mineiro;Melhor goleiro;Santos (Athletico Paranaense);Melhor defesa;Internacional – 35 gols;Rebaixado(s);Grêmio;Vice-campeão;Internacional;Melhor jogador;Éverton Ribeiro (Cruzeiro);Melhor árbitro;Ricardo Marques Ribeiro[1]
4.º colocado;São Paulo;;Fred (Atlético Mineiro);4.º colocado;Grêmio;;Vitória;Melhor jogador jovem;Michael (Goiás);Premiações;;;Bahia;3.º colocado;Fluminense;(CBF);;2024;
Rebaixado(s);Avaí;;William Pottker (Ponte Preta);Rebaixado(s);Coritiba;;Paraná;Melhor treinador;Jorge Jesus (Flamengo);Melhor jogador;Claudinho (Red Bull Bragantino);;Sport;4.º colocado;Corinthians;Melhor treinador;Marcelo Oliveira (Cruzeiro);Colocações finais;
;Vasco da Gama;Melhor ataque;Palmeiras – 62 gols;;Avaí;Estatísticas;;Melhor árbitro;Wilton Pereira Sampaio;Melhor goleiro;Weverton (Palmeiras);;Chapecoense;Rebaixado(s);Ceará;Melhor árbitro;Paulo César de Oliveira;Campeão;Botafogo (3.º título)
;Goiás;Melhor defesa;32 gols:;;Ponte Preta;Melhor marcador;Gabriel (Santos) – 18 gols;Fair play;Corinthians;Melhor jogador jovem;Claudinho (Red Bull Bragantino);Estatísticas;;;Atlético Goianiense;2023;;Vice-campeão;Palmeiras
;Joinville;;Atlético Paranaense;;Atlético Goianiense;Melhor ataque;Palmeiras – 64 gols;;;Melhor treinador;Abel Braga (Internacional);Melhor marcador;Hulk (Atlético Mineiro) – 19 gols;;Avaí;Colocações finais;;3.º colocado;Flamengo
Estatísticas;;;Palmeiras;Estatísticas;;Melhor defesa;Palmeiras – 26 gols;;;Melhor árbitro;Leandro Vuaden;Melhor ataque;Flamengo – 69 gols;;Juventude;Campeão;Palmeiras (12.º título);4.º colocado;Fortaleza
Melhor marcador;Ricardo Oliveira (Santos) – 20 gols;Premiações;;Melhor marcador;18 gols:;Premiações;;;;Fair play;Atlético Mineiro;Melhor defesa;Atlético Mineiro – 34 gols;Estatísticas;;Vice-campeão;Grêmio;Rebaixado(s);Athletico Paranaense
Melhor ataque;Corinthians – 71 gols;Melhor jogador;Gabriel Jesus (Palmeiras);;Henrique Dourado (Fluminense);Melhor jogador;Dudu (Palmeiras);;;;;Premiações;;Melhor marcador;Germán Cano (Fluminense) – 26 gols;3.º colocado;Atlético Mineiro;;Criciúma
Melhor defesa;Corinthians – 31 gols;Melhor goleiro;Jailson (Palmeiras);;Jô (Corinthians);Melhor goleiro;Marcelo Lomba (Internacional);;;;;Melhor jogador;Hulk (Atlético Mineiro);Melhor ataque;Palmeiras – 66 gols;4.º colocado;Flamengo;;Atlético Goianiense
Premiações;;Melhor treinador;Cuca (Palmeiras);Melhor ataque;Palmeiras – 61 gols;Melhor treinador;Luiz Felipe Scolari (Palmeiras);;;;;Melhor goleiro;Weverton (Palmeiras);Melhor defesa;Palmeiras – 27 gols;Rebaixado(s);Santos;;Cuiabá
Melhor jogador;Renato Augusto (Corinthians)[1];Melhor árbitro;Raphael Claus;Melhor defesa;Corinthians – 30 gols;Melhor árbitro;Raphael Claus;;;;;Melhor jogador jovem;André (Fluminense);Premiações;;;Goiás;Estatísticas;
(CBF);;;;Premiações;;;;;;;;Melhor treinador;Cuca (Atlético Mineiro);Melhor jogador;Gustavo Scarpa (Palmeiras);;Coritiba;Melhor marcador;15 gols:
Melhor goleiro;Cássio (Corinthians)[1];;;Melhor jogador;Jô (Corinthians);;;;;;;Melhor árbitro;Bruno Arleu de Araújo;Melhor goleiro;Weverton (Palmeiras);;América Mineiro;;Alerrandro (Vitória)
Melhor treinador;Tite (Corinthians)[1];;;Melhor goleiro;Vanderlei (Santos);;;;;;;Fair play;Corinthians;Melhor jogador jovem;Endrick (Palmeiras);Estatísticas;;;Yuri Alberto (Corinthians)
Melhor árbitro;Anderson Daronco[1];;;Melhor treinador;Fábio Carille (Corinthians);;;;;;;;;Melhor treinador;Abel Ferreira (Palmeiras);Melhor marcador;Paulinho (Atlético Mineiro) – 20 gols;Melhor ataque;Flamengo – 61 gols
2025;;;;Melhor árbitro;Raphael Claus;;;;;;;;;;;Melhor ataque;Palmeiras – 64 gols;Melhor defesa;Botafogo – 29 gols
Colocações finais;;;;;;;;;;;;;;;;Melhor defesa;32 gols:;Premiações;
Campeão;Flamengo (8.º título)[nota 1];;;;;;;;;;;;;;;;Atlético Mineiro;Melhor jogador;Luiz Henrique (Botafogo)
Vice-campeão;Palmeiras;;;;;;;;;;;;;;;;Cruzeiro;Melhor goleiro;John (Botafogo)
