1981;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Olaria (1ª título);;;;;;;;;;;;
2; Ferroviária;17;16;6;5;5;16;15;1;;;;;;;;;;;;;;
3; Uberlândia;21;14;8;5;1;19;10;9;;;;;;;;;;;;;;
4; Catuense;13;10;6;1;3;17;9;8;;;;;;;;;;;;;;
5; Ituano;15;12;6;3;3;11;8;3;;;;;;;;;;;;;;
6; Valerio;13;6;3;7;2;16;14;2;;;;;;;;;;;;;;
7; ABC;12;10;6;0;4;22;16;6;;;;;;;;;;;;;;
8; Maruinense;10;12;3;4;5;12;17;-5;;;;;;;;;;;;;;
9; Juventus;15;8;7;1;2;11;10;1;;;;;;;;;;;;;;
10; Vila Nova;12;10;5;2;3;11;7;4;;;;;;;;;;;;;;
11; Taguatinga;11;10;4;3;3;11;11;0;;;;;;;;;;;;;;
12; CSA;10;10;5;0;5;17;13;4;;;;;;;;;;;;;;
13; Esportivo de Passos;9;10;3;3;4;9;10;-1;;;;;;;;;;;;;;
14; Operário-MS;8;10;2;4;4;8;10;-2;;;;;;;;;;;;;;
15; Vitória-PE;8;10;2;4;4;10;13;-3;;;;;;;;;;;;;;
16; Vitória-ES;7;6;2;3;1;3;2;1;;;;;;;;;;;;;;
17; Itabaiana;9;8;4;1;3;8;10;-2;;;;;;;;;;;;;;
18; Joinville;9;8;3;3;2;9;5;4;;;;;;;;;;;;;;
19; Matsubara;9;8;4;1;3;14;11;3;;;;;;;;;;;;;;
20; Santa Cruz-PB;9;8;3;3;2;8;7;1;;;;;;;;;;;;;;
21; Botafogo-PB;9;6;2;5;1;12;12;0;;;;;;;;;;;;;;
22; União Bandeirante;8;8;3;2;3;10;7;3;;;;;;;;;;;;;;
23; América-RJ;8;6;3;2;3;9;8;1;;;;;;;;;;;;;;
24; Villa Nova;8;8;2;4;2;6;6;0;;;;;;;;;;;;;;
25; Figueirense;7;8;3;1;4;8;10;-2;;;;;;;;;;;;;;
26; Caldas;7;8;2;3;3;8;10;-2;;;;;;;;;;;;;;
27; Batel;7;8;2;3;3;4;6;-2;;;;;;;;;;;;;;
28; América de Esperança-PB;6;6;3;0;3;8;11;-3;;;;;;;;;;;;;;
29; Atlético Goianiense;6;8;2;2;4;5;6;-1;;;;;;;;;;;;;;
30; Campo Grande;6;8;1;4;3;6;9;-3;;;;;;;;;;;;;;
31; Itumbiara;5;8;2;1;5;11;14;-3;;;;;;;;;;;;;;
32; Sousa;4;6;2;0;4;6;12;-6;;;;;;;;;;;;;;
33; Rio Branco-SP;5;6;2;1;3;6;8;-2;;;;;;;;;;;;;;
34; Tupi;5;6;1;3;2;3;5;-2;;;;;;;;;;;;;;
35; União Araguainense;5;6;2;0;4;6;10;-4;;;;;;;;;;;;;;
36; Confiança;4;6;1;2;3;6;9;-3;;;;;;;;;;;;;;
37; Porto;4;6;0;4;2;5;8;-3;;;;;;;;;;;;;;
38; Operário-MT;3;6;1;1;4;3;7;-4;;;;;;;;;;;;;;
39; Santo André;2;6;0;2;4;3;8;-5;;;;;;;;;;;;;;
40; Blumenau;2;6;0;2;4;3;8;-5;;;;;;;;;;;;;;
41; Atlético Sorocaba;1;6;0;1;5;0;12;-12;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1995;;;;;;;;;;;;;;;;;;;;;;;
Tabela de classificação;;;;;;;;;;Estatísticas;;;;;;;;;;;;;
C;Time;PG;J;V;E;D;GP;GC;SG;Melhor marcador;Serginho (XV de Piracicaba);;;;;;;;;;;;
1; XV de Piracicaba;29;16;9;2;4;19;7;12;A maior goleada do Campeonato Brasileiro Série C de 1995 foi a vitória do Paulista (então chamado de Lousano Paulista) por 7 a 0 sobre o Bayer-RJ;;;;;;;;;;;;;
2; Volta Redonda;29;16;8;5;3;16;9;7;;;;;;;;;;;;;;
3; Gama;28;16;8;5;3;20;9;11;;;;;;;;;;;;;;
4; Atlético Goianiense;25;16;7;5;4;20;17;3;;;;;;;;;;;;;;
5; ABC;21;13;6;3;4;20;15;5;;;;;;;;;;;;;;
6; Joinville;20;12;6;2;4;20;13;7;;;;;;;;;;;;;;
7; Ji-Paraná;17;12;3;8;1;17;11;6;;;;;;;;;;;;;;
8; Rio Branco-ES;16;12;4;4;4;11;13;-2;;;;;;;;;;;;;;
9; Fortaleza;27;12;8;3;1;22;11;11;;;;;;;;;;;;;;
10; Guará;19;12;5;4;3;14;9;5;;;;;;;;;;;;;;
11; Linhares;18;12;4;6;2;13;11;2;;;;;;;;;;;;;;
12; Caxias;17;10;5;3;2;15;11;4;;;;;;;;;;;;;;
13; Brasil de Pelotas;17;10;5;3;2;13;11;2;;;;;;;;;;;;;;
14; Intercap;16;10;4;4;2;12;7;5;;;;;;;;;;;;;;
15; Nacional-AM;13;10;3;4;3;10;6;4;;;;;;;;;;;;;;
16; Icasa;11;10;3;3;4;10;12;-2;;;;;;;;;;;;;;
17; Rio Branco-AC;22;10;6;4;0;19;9;10;;;;;;;;;;;;;;
18; Uberlândia;20;10;6;2;2;16;9;7;;;;;;;;;;;;;;
19; Lousano Paulista;17;8;5;2;1;25;6;19;;;;;;;;;;;;;;
20; Vila Nova;17;10;5;2;3;12;8;4;;;;;;;;;;;;;;
21; Galícia;15;10;4;3;3;12;6;6;;;;;;;;;;;;;;
22; Botafogo-SP;15;10;3;6;1;8;5;3;;;;;;;;;;;;;;
23; Sousa;14;8;4;2;2;10;8;2;;;;;;;;;;;;;;
24; Juventus;12;8;3;3;2;12;9;3;;;;;;;;;;;;;;
25; Marília;12;8;3;3;2;8;5;3;;;;;;;;;;;;;;
26; Catuense;12;8;3;3;2;9;8;1;;;;;;;;;;;;;;
27; Chapecoense;12;8;3;3;2;9;8;1;;;;;;;;;;;;;;
28; Araçatuba;12;8;3;3;2;6;5;1;;;;;;;;;;;;;;
29; Picos;12;6;3;3;2;5;6;-1;;;;;;;;;;;;;;
30; Barra de Teresópolis;12;10;3;3;4;8;10;-2;;;;;;;;;;;;;;
31; Baré;10;8;2;4;2;9;9;0;;;;;;;;;;;;;;
32; Flamengo-PI;9;8;2;3;3;4;5;-1;;;;;;;;;;;;;;
33; Anápolis;14;8;4;2;2;10;6;4;;;;;;;;;;;;;;
34; Rio Negro-AM;13;6;4;1;1;9;6;3;;;;;;;;;;;;;;
35; A.D. Vitória;13;8;3;4;1;13;9;4;;;;;;;;;;;;;;
36; Vitória-ES;13;8;3;4;1;7;4;3;;;;;;;;;;;;;;
37; Ferroviário;12;8;3;3;2;16;11;5;;;;;;;;;;;;;;
38; Itabaiana;12;8;3;3;2;14;10;4;;;;;;;;;;;;;;
39; Valerio;12;8;3;3;2;9;7;2;;;;;;;;;;;;;;
40; CSA;12;8;3;3;2;12;11;1;;;;;;;;;;;;;;
41; Matsubara;11;6;3;2;1;9;3;6;;;;;;;;;;;;;;
42; Coroatá;11;6;3;2;1;8;5;3;;;;;;;;;;;;;;
43; Santa Cruz-PB;11;7;3;2;2;10;8;2;;;;;;;;;;;;;;
44; Inter de Limeira;11;8;3;2;3;7;7;0;;;;;;;;;;;;;;
45; União Bandeirante;10;6;3;1;2;6;6;0;;;;;;;;;;;;;;
46; Santo André;10;6;3;1;2;5;7;-2;;;;;;;;;;;;;;
47; América-RJ;10;6;3;1;2;5;7;-2;;;;;;;;;;;;;;
48; SE Ariquemes;10;6;2;4;0;7;4;3;;;;;;;;;;;;;;
49; Francana;9;6;3;0;3;10;8;2;;;;;;;;;;;;;;
50; Gurupi;9;6;3;0;3;7;7;0;;;;;;;;;;;;;;
51; Caldas;9;8;3;0;5;6;12;-6;;;;;;;;;;;;;;
52; Sampaio Corrêa;9;6;2;3;1;4;3;1;;;;;;;;;;;;;;
53; Independência;8;8;3;2;3;11;10;2;;;;;;;;;;;;;;
54; Batalhense;8;6;2;2;2;8;12;-4;;;;;;;;;;;;;;
55; Ypiranga-RS;7;6;2;1;3;11;9;2;;;;;;;;;;;;;;
56; Batel;7;6;2;1;3;8;7;1;;;;;;;;;;;;;;
57; Operário-MT;7;4;2;1;1;7;6;1;;;;;;;;;;;;;;
58; Avaí;7;6;2;1;3;7;8;-1;;;;;;;;;;;;;;
59; Atlético Roraima;7;6;1;4;1;6;7;-1;;;;;;;;;;;;;;
