1981;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Olaria (1ª título);;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 9 - Distrito Federal/Goiás;;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Brasiliense;13;6;;;;;;;;;;;;;;;;;;;;
2; Anápolis;12;6;;;;;;;;;;;;;;;;;;;;
3; CFZ de Brasília;10;6;;;;;;;;;;;;;;;;;;;;
4; Grêmio Inhumense;0;6;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 10 - Goiás/Mato Grosso/Mato Grosso do Sul [6];;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Novo Horizonte;6;4;;;;;;;;;;;;;;;;;;;;
2; CENE;4;4;;;;;;;;;;;;;;;;;;;;
3; União Rondonópolis;3;4;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 11 - Goiás/Minas Gerais;;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Villa Nova;9;6;;;;;;;;;;;;;;;;;;;;
2; Atlético Goianiense;9;6;;;;;;;;;;;;;;;;;;;;
3; Uberlândia;8;6;;;;;;;;;;;;;;;;;;;;
4; Goiânia;6;6;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 12 - Rio de Janeiro;;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Olaria;12;6;;;;;;;;;;;;;;;;;;;;
2; Bangu;9;6;;;;;;;;;;;;;;;;;;;;
3; Volta Redonda;6;6;;;;;;;;;;;;;;;;;;;;
4; America;4;6;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 13 - São Paulo;;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Atlético Sorocaba;8;6;;;;;;;;;;;;;;;;;;;;
2; Ituano;7;6;;;;;;;;;;;;;;;;;;;;
3; Comercial;7;6;;;;;;;;;;;;;;;;;;;;
4; Inter de Limeira;6;6;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 14 - São Paulo;;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Rio Branco-SP;13;6;;;;;;;;;;;;;;;;;;;;
2; Marília;11;6;;;;;;;;;;;;;;;;;;;;
3; Ferroviária;7;6;;;;;;;;;;;;;;;;;;;;
4; Santo André;1;6;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 15 - Paraná;;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Iraty;13;6;;;;;;;;;;;;;;;;;;;;
2; União Bandeirante;8;6;;;;;;;;;;;;;;;;;;;;
3; Ponta Grossa;6;6;;;;;;;;;;;;;;;;;;;;
4; Grêmio Maringá;5;6;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 16 - Rio Grande do Sul/Santa Catarina;;;;;;;;;;;;;;;;;;;;;;;
Classificação - Chave 1;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;;;;;;;;;;;;;;;;;;;;
1; Ulbra;15;6;;;;;;;;;;;;;;;;;;;;
2; Brasil de Pelotas;13;6;;;;;;;;;;;;;;;;;;;;
3; São Gabriel;3;6;;;;;;;;;;;;;;;;;;;;
4; Tubarão FC;2;6;;;;;;;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;
Tabela de classificação;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
C.;Time;PG;J;V;E;D;GP;GC;SG;Campeão; Ituano;;;;;;;;;;;;
1; Ituano;32;18;10;2;6;27;23;4;Vice-campeão; Santo André;;;;;;;;;;;;
2; Santo André;26;18;8;3;8;27;19;8;Estatísticas;;;;;;;;;;;;;
3; Botafogo;33;18;10;3;5;34;25;9;Melhor marcador;Nílson Sergipano (Botafogo) - 11 gols;;;;;;;;;;;;
4; Campinense;30;18;10;0;8;27;16;11;A maior goleada registrada no Campeonato Brasileiro da Série C de 2003 foi a vitória do Villa Nova-MG sobre a Desportiva-ES por 6 a 1;;;;;;;;;;;;;
5; RS Futebol;29;14;9;2;3;25;15;10;;;;;;;;;;;;;;
6; Bragantino;23;12;7;2;3;20;15;5;;;;;;;;;;;;;;
7; Palmas;21;12;6;3;3;22;21;1;;;;;;;;;;;;;;
8; Tuna Luso;18;12;5;3;4;11;10;1;;;;;;;;;;;;;;
9; Cabofriense;21;12;6;3;3;17;12;5;;;;;;;;;;;;;;
10; Confiança;21;12;7;0;5;13;14;-1;;;;;;;;;;;;;;
11; CFZ;20;10;6;2;2;15;6;9;;;;;;;;;;;;;;
12; Tupi;20;12;6;2;4;19;13;6;;;;;;;;;;;;;;
13; Imperatriz;20;6;6;2;2;15;10;5;;;;;;;;;;;;;;
14; Itapipoca;18;10;5;3;2;12;10;2;;;;;;;;;;;;;;
15; Americano;22;10;7;1;2;19;12;7;;;;;;;;;;;;;;
16; Olaria;20;8;6;2;2;13;9;4;;;;;;;;;;;;;;
17; Rio Branco;18;10;5;3;2;13;9;4;;;;;;;;;;;;;;
18; Viana;15;8;4;3;1;9;8;1;;;;;;;;;;;;;;
19; CENE;15;10;4;3;3;8;7;1;;;;;;;;;;;;;;
20; Pelotas;15;10;4;3;3;10;12;-2;;;;;;;;;;;;;;
21; União Bandeirante;14;10;4;2;4;10;10;0;;;;;;;;;;;;;;
22; Botafogo;12;8;3;3;2;7;9;-2;;;;;;;;;;;;;;
23; Rio Branco;11;8;3;2;3;10;8;2;;;;;;;;;;;;;;
24; Guarany;11;8;2;5;1;10;8;2;;;;;;;;;;;;;;
25; Sergipe;11;8;3;2;3;12;11;1;;;;;;;;;;;;;;
26; Ituiutaba;11;8;3;2;3;10;11;-1;;;;;;;;;;;;;;
27; Chapadão;10;8;2;4;2;7;6;1;;;;;;;;;;;;;;
28; ASA;9;8;2;3;3;7;9;-2;;;;;;;;;;;;;;
29; Ipatinga;16;8;5;1;2;11;6;5;;;;;;;;;;;;;;
30; Juazeiro;15;8;5;0;3;12;6;6;;;;;;;;;;;;;;
31; Nacional;15;8;4;3;1;11;6;5;;;;;;;;;;;;;;
32; União Barbarense;15;8;4;3;1;11;7;4;;;;;;;;;;;;;;
33; Estrela do Norte;14;8;4;2;2;8;9;-1;;;;;;;;;;;;;;
34; Goytacaz;13;8;4;1;3;9;7;2;;;;;;;;;;;;;;
35; Sousa;12;6;4;0;2;7;7;0;;;;;;;;;;;;;;
36; Sertãozinho;11;6;3;2;1;10;10;0;;;;;;;;;;;;;;
37; Macaé;11;8;3;2;3;9;9;0;;;;;;;;;;;;;;
38; Comercial;11;8;3;2;3;6;10;-4;;;;;;;;;;;;;;
39; Flamengo;10;6;3;1;2;10;6;4;;;;;;;;;;;;;;
40; Tocantinópolis;10;6;3;1;2;13;11;2;;;;;;;;;;;;;;
41; Atlético Sorocaba;10;6;3;1;2;6;4;2;;;;;;;;;;;;;;
42; Cuiabá;10;6;3;1;2;10;9;1;;;;;;;;;;;;;;
43; Internacional;10;6;3;1;2;6;5;1;;;;;;;;;;;;;;
44; Treze;10;6;3;1;2;6;9;-3;;;;;;;;;;;;;;
45; Caxias FC;9;6;2;3;1;11;10;1;;;;;;;;;;;;;;
46; Atlético Roraima;9;6;3;0;3;9;10;-1;;;;;;;;;;;;;;
47; Friburguense;8;6;2;2;2;6;5;2;;;;;;;;;;;;;;
48; Atlético;8;6;2;2;2;9;9;0;;;;;;;;;;;;;;
49; Chapadinha;8;6;2;2;2;5;5;0;;;;;;;;;;;;;;
50; ABC;8;6;2;2;2;6;7;-1;;;;;;;;;;;;;;
51; River;7;6;2;1;2;5;4;1;;;;;;;;;;;;;;
52; CSA;6;6;1;3;2;11;12;-1;;;;;;;;;;;;;;
53; Volta Redonda;5;6;1;2;3;7;5;2;;;;;;;;;;;;;;
54; Sampaio Corrêa;5;6;1;2;3;4;7;-3;;;;;;;;;;;;;;
55; Uberlândia;5;6;1;2;3;4;10;-6;;;;;;;;;;;;;;
56; Ulbra;4;6;0;4;2;5;7;-2;;;;;;;;;;;;;;
57; Rio Branco;10;6;3;1;2;8;8;0;;;;;;;;;;;;;;
58; Operário;8;6;2;2;2;6;5;1;;;;;;;;;;;;;;
59; Portuguesa;8;6;2;2;2;10;10;0;;;;;;;;;;;;;;
60; Desportiva;7;6;2;1;3;9;9;0;;;;;;;;;;;;;;
61; Itabaiana;7;6;2;1;3;6;6;0;;;;;;;;;;;;;;
62; São José;7;6;2;1;3;5;7;-2;;;;;;;;;;;;;;
63; America;7;6;2;1;3;5;7;-3;;;;;;;;;;;;;;
64; Grêmio Maringá;5;6;1;2;3;7;8;-1;;;;;;;;;;;;;;
65; Central;4;4;1;1;2;5;4;1;;;;;;;;;;;;;;
66; Francana;4;4;1;1;2;4;4;0;;;;;;;;;;;;;;
67; Taveirópolis;4;6;1;1;4;8;9;-1;;;;;;;;;;;;;;
68; Catuense;4;4;1;1;2;6;7;-1;;;;;;;;;;;;;;
69; São Gonçalo FC;4;4;1;1;2;4;5;-1;;;;;;;;;;;;;;
70; XV de Novembro;4;4;1;1;2;2;3;-1;;;;;;;;;;;;;;
71; Rio Negro;4;6;1;1;4;10;12;-2;;;;;;;;;;;;;;
72; Jaciara;4;4;1;1;2;5;7;-2;;;;;;;;;;;;;;
73; Santa Inês;4;4;1;1;2;4;6;-2;;;;;;;;;;;;;;
74; Uberaba;4;4;1;1;2;3;5;-2;;;;;;;;;;;;;;
75; Rio Branco;4;4;1;1;2;2;5;-3;;;;;;;;;;;;;;
76; Iraty;4;6;1;1;4;5;9;-4;;;;;;;;;;;;;;
77; CFA;4;6;1;1;4;4;11;-7;;;;;;;;;;;;;;
78; Lagartense;4;6;1;1;3;4;11;-7;;;;;;;;;;;;;;
79; Marcílio Dias;3;4;0;3;1;3;4;-1;;;;;;;;;;;;;;
80; Bangu;3;6;0;3;3;4;8;-4;;;;;;;;;;;;;;
81; Serra;3;6;0;3;3;2;8;-6;;;;;;;;;;;;;;
82; Portuguesa Santista;3;4;1;0;3;1;7;-6;;;;;;;;;;;;;;
83; Caxiense;3;4;1;0;3;1;8;-7;;;;;;;;;;;;;;
84; Ferroviário;2;4;0;2;2;4;6;-2;;;;;;;;;;;;;;
85; Comercial;2;4;0;2;2;4;6;-2;;;;;;;;;;;;;;
86; Anápolis;2;4;0;2;2;7;10;-3;;;;;;;;;;;;;;
87; Brasil;2;6;0;2;4;7;12;-5;;;;;;;;;;;;;;
88; Ypiranga;1;4;0;1;3;4;8;-4;;;;;;;;;;;;;;
89; Goiatuba;1;4;0;1;3;3;7;-4;;;;;;;;;;;;;;
90; Villa Nova;1;6;0;1;5;2;11;-9;;;;;;;;;;;;;;
91; Maranhão;0;4;0;0;4;1;5;-4;;;;;;;;;;;;;;
92; Corinthians;0;4;0;0;4;1;6;-5;;;;;;;;;;;;;;
93; Rio Branco;0;6;0;0;6;5;15;-10;;;;;;;;;;;;;;
NP; Parnahyba SC;Desistiram de participar.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;
Primeira Fase;;;;;;;;;;;;;;;;;;;;;;;
Grupo 1;;;;;;;;;;238;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Colocações finais;;;;;;;;;;;;;
1; Grêmio Coariense;8;4;2;2;0;5;4;2;Campeão; União Barbarense;;;;;;;;;;;;
2; Rio Branco-AC;4;4;1;1;2;5;6;-1;Vice-campeão; Gama;;;;;;;;;;;;
3; Nacional-AM;3;4;0;3;1;6;7;-1;Estatísticas;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;Melhor marcador;Frontini (União Barbarense);;;;;;;;;;;;
Grupo 2;;;;;;;;;;;Marciano (Limoeiro);;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;Vítor (Gama);;;;;;;;;;;;
1; Atlético Roraima;2;2;0;2;0;1;1;0;;- 10 gols;;;;;;;;;;;;
2; Trem;2;2;0;2;0;1;1;0;Maiores goleadas;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;Gama-DF 7 - 1Limoeiro;;;;;;;;;;;;;
Grupo 3;;;;;;;;;;Moto Club-MA 7 - 1 Tuna Luso-PA;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; União Rondonópolis;9;4;3;0;1;10;2;8;;;;;;;;;;;;;;
2; Cuiabá;9;4;3;0;1;6;3;3;;;;;;;;;;;;;;
3; Ji-Paraná;0;4;0;0;4;0;11;-11;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 4;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Gama;9;6;2;3;1;11;6;5;;;;;;;;;;;;;;
2; Palmas;9;6;2;3;1;8;9;-1;;;;;;;;;;;;;;
3; Gurupi;7;6;2;1;3;4;8;-4;;;;;;;;;;;;;;
4; CFZ de Brasília;6;6;1;3;2;7;7;0;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 5;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Sampaio Corrêa;10;6;3;1;2;9;8;1;;;;;;;;;;;;;;
2; Moto Club;9;6;3;0;3;17;14;3;;;;;;;;;;;;;;
3; Castanhal;9;6;3;0;3;15;12;3;;;;;;;;;;;;;;
4; Tuna Luso;7;6;2;1;3;8;15;-7;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 6;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; AD Limoeiro;13;6;4;1;1;14;8;6;;;;;;;;;;;;;;
2; Parnahyba;8;6;2;2;2;6;7;-1;;;;;;;;;;;;;;
3; Ferroviário;7;6;2;1;3;6;7;-1;;;;;;;;;;;;;;
4; River-PI;5;6;1;2;3;5;9;-4;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 7;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Treze;11;6;3;2;1;8;5;3;;;;;;;;;;;;;;
2; Campinense;9;6;2;3;1;7;6;1;;;;;;;;;;;;;;
3; Potiguar de Mossoró;7;6;2;1;3;5;7;-2;;;;;;;;;;;;;;
4; Baraúnas;5;6;1;2;3;7;9;-2;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 8;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Porto-PE;13;6;4;1;1;12;5;7;;;;;;;;;;;;;;
2; Itacuruba;10;6;3;1;2;6;8;-2;;;;;;;;;;;;;;
3; Coruripe;5;6;1;2;3;8;10;-2;;;;;;;;;;;;;;
4; Corinthians-AL;5;6;1;2;3;8;11;-3;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 9;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Confiança;10;6;3;1;2;4;4;0;;;;;;;;;;;;;;
2; Sergipe;8;6;2;2;2;3;2;1;;;;;;;;;;;;;;
3; Atlético de Alagoinhas;8;6;2;2;2;5;5;0;;;;;;;;;;;;;;
4; Catuense;6;6;1;3;2;2;3;-1;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 10;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Villa Nova;12;6;4;0;2;9;5;4;;;;;;;;;;;;;;
2; Serra;11;6;3;2;1;10;8;2;;;;;;;;;;;;;;
3; Ipatinga;5;6;1;2;3;6;8;-2;;;;;;;;;;;;;;
4; Estrela do Norte;5;6;1;2;3;6;10;-4;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 11;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SC;;;;;;;;;;;;;;
1; CRAC;12;6;3;3;0;8;3;5;;;;;;;;;;;;;;
2; CENE;9;6;2;3;1;11;5;6;;;;;;;;;;;;;;
3; Chapadão;5;6;1;2;3;4;8;-4;;;;;;;;;;;;;;
4; Jataiense;5;6;1;2;3;5;12;-7;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 12;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Americano;12;6;4;0;2;8;3;5;;;;;;;;;;;;;;
2; Ceilândia;10;6;3;1;2;7;7;0;;;;;;;;;;;;;;
3; Tupi;7;6;2;1;3;5;9;-4;;;;;;;;;;;;;;
4; Friburguense;5;6;1;2;3;5;6;-1;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 13;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Atlético Sorocaba;16;6;5;1;0;10;4;6;;;;;;;;;;;;;;
2; Portuguesa Santista;10;6;3;1;1;6;5;1;;;;;;;;;;;;;;
3; Portuguesa-RJ;6;6;1;3;2;3;5;-2;;;;;;;;;;;;;;
4; America;1;6;0;1;5;1;6;-5;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 14;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; União Barbarense;14;6;4;2;0;7;3;4;;;;;;;;;;;;;;
2; Rio Branco-SP;7;6;1;4;1;5;4;1;;;;;;;;;;;;;;
3; América-SP;5;6;1;2;3;4;7;-3;;;;;;;;;;;;;;
4; União São João;4;6;0;4;2;3;3;-2;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 15;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Iraty;14;6;4;2;0;8;2;6;;;;;;;;;;;;;;
2; Atlético de Ibirama;7;6;1;4;1;6;3;3;;;;;;;;;;;;;;
3; Nacional-PR;6;6;2;0;4;8;15;-7;;;;;;;;;;;;;;
4; Cianorte;5;6;1;2;3;5;7;-2;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 16;;;;;;;;;;;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Ulbra;13;6;4;1;1;8;5;3;;;;;;;;;;;;;;
2; Novo Hamburgo;12;6;4;0;2;8;6;2;;;;;;;;;;;;;;
3; Esportivo;5;6;1;2;3;9;12;-3;;;;;;;;;;;;;;
4; Lages;4;6;1;1;4;8;10;-2;;;;;;;;;;;;;;
"PG - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;
Grupo 1;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;Colocações finais;;;;;;;;;;;;;
1; Nacional-AM;10;4;3;1;0;8;4;4;Campeão; Remo;;;;;;;;;;;;
2; Independência;4;4;1;1;2;4;7;-3;Vice-campeão; América de Natal;;;;;;;;;;;;
3; Grêmio Coariense;3;4;1;0;3;7;8;-1;Estatísticas;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;Melhor marcador;Paulinho Marília (América de Natal) - 10 gols;;;;;;;;;;;;
;;;;;;;;;;Maiores Goleadas;;;;;;;;;;;;;
Grupo 2;;;;;;;;;;Luverdense5-0Ji Paraná;;;;;;;;;;;;;
;;;;;;;;;;São RAIMUNDO-PA 5 - 0 JI-PARANÁ-RO;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;SERRA-ES 5 -0 AMERICANO - RJ;;;;;;;;;;;;;
1; Vila Aurora;12;6;3;3;0;12;7;5;;;;;;;;;;;;;;
2; São Raimundo-PA;8;6;2;2;2;12;8;4;;;;;;;;;;;;;;
3; Luverdense;7;6;2;1;3;12;9;3;;;;;;;;;;;;;;
4; Ji-Paraná;5;6;1;2;3;2;14;-12;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 3;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Remo;14;6;4;2;0;14;7;7;;;;;;;;;;;;;;
2; Abaeté;10;6;3;1;2;9;6;3;;;;;;;;;;;;;;
3; São José-AP;5;6;1;2;3;7;10;-3;;;;;;;;;;;;;;
4; São Raimundo-RR;4;6;1;1;4;6;13;-7;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 4;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Moto Club;11;6;3;2;1;8;5;3;;;;;;;;;;;;;;
2; Tocantinópolis;10;6;3;1;2;10;7;3;;;;;;;;;;;;;;
3; Imperatriz;8;6;2;2;2;6;7;-1;;;;;;;;;;;;;;
4; Parnahyba;4;6;1;1;4;9;14;-5;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 5;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Ferroviário;15;6;5;0;1;14;7;7;;;;;;;;;;;;;;
2; Icasa;9;6;3;0;3;9;8;1;;;;;;;;;;;;;;
3; Serrano-PE;7;6;2;1;3;5;8;-3;;;;;;;;;;;;;;
4; Piauí;4;6;1;1;4;1;6;-5;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 6;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Coruripe;15;6;5;0;1;14;9;5;;;;;;;;;;;;;;
2; América de Natal;9;6;3;0;3;9;5;4;;;;;;;;;;;;;;
3; Nacional de Patos*;6;6;4;0;2;11;8;3;;;;;;;;;;;;;;
4; Vitória das Tabocas;0;6;0;0;6;5;17;-12;;;;;;;;;;;;;;
